dates,CFT01,ub_y0_p0,lb_y0,mv_p0,bw_p1
2016/3/28,99.615,100.1761389,98.74486112,99.4605,0.014390414
2016/3/29,99.805,100.2115486,98.75145137,99.4815,0.014677073
2016/3/30,99.8,100.2391979,98.79030211,99.51475,0.014559608
2016/3/31,99.8,100.2441311,98.86936892,99.55675,0.013808829
2016/4/1,99.87,100.260414,98.93158597,99.596,0.013342183
2016/4/5,99.63,100.162918,99.122582,99.64275,0.010440659
2016/4/6,99.575,100.0416219,99.31937814,99.6805,0.007245587
2016/4/7,99.475,99.97711581,99.41788419,99.6975,0.005609284
2016/4/8,99.68,99.95983712,99.46116288,99.7105,0.005001221
2016/4/11,99.745,99.95548016,99.46101984,99.70825,0.004959071
2016/4/12,99.75,99.95960899,99.46689101,99.71325,0.004941349
2016/4/13,99.55,99.96169639,99.44880361,99.70525,0.00514409
2016/4/14,99.265,99.95854699,99.37995301,99.66925,0.00580514
2016/4/15,99.485,99.95859788,99.35890212,99.65875,0.006017492
2016/4/18,99.505,99.95698534,99.34301466,99.65,0.006161271
2016/4/19,99.58,99.9555778,99.3514222,99.6535,0.006062563
2016/4/20,99.295,99.97715291,99.29684709,99.637,0.006827843
2016/4/21,99.305,99.98956731,99.25043269,99.62,0.007419541
2016/4/22,99.385,99.9630665,99.2299335,99.5965,0.007361032
2016/4/25,99.05,99.98098248,99.13551752,99.55825,0.008492164
2016/4/26,99.345,99.97651933,99.11298068,99.54475,0.008674879
2016/4/27,99.345,99.94452979,99.09897021,99.52175,0.008496229
2016/4/28,99.61,99.91778021,99.10671979,99.51225,0.008150358
2016/4/29,99.515,99.88151532,99.11448468,99.498,0.007709006
2016/5/3,99.75,99.8552685,99.1287315,99.492,0.007302466
2016/5/4,99.845,99.89340938,99.11209062,99.50275,0.007852233
2016/5/5,99.85,99.93474753,99.09825247,99.5165,0.008405592
2016/5/6,99.875,99.98224769,99.09075231,99.5365,0.008956467
2016/5/9,100.245,100.1049118,99.02458822,99.56475,0.010850462
2016/5/10,100.35,100.231349,98.95865104,99.595,0.012778733
2016/5/11,99.195,100.2222727,98.91222729,99.56725,0.013157393
2016/5/12,99.49,100.2201103,98.90838969,99.56425,0.013174615
2016/5/13,99.37,100.2173264,98.92167363,99.5695,0.013012546
2016/5/16,98.99,100.2397067,98.84979335,99.54475,0.013962698
2016/5/17,99.01,100.2530689,98.78693111,99.52,0.014732092
2016/5/18,98.795,100.2780158,98.6834842,99.48075,0.016028544
2016/5/19,98.845,100.2994056,98.6170944,99.45825,0.016914748
2016/5/20,99.095,100.3014448,98.59405524,99.44775,0.017168709
2016/5/23,99.075,100.3010623,98.56343774,99.43225,0.017475462
2016/5/24,99.29,100.2981134,98.59038657,99.44425,0.017172706
2016/5/25,99.27,100.2967295,98.58427047,99.4405,0.017220942
2016/5/26,99.14,100.2956659,98.56483406,99.43025,0.017407498
2016/5/27,99.07,100.2781916,98.52830843,99.40325,0.017603883
2016/5/30,98.93,100.2708813,98.47711874,99.374,0.018050622
2016/5/31,99.145,100.2285939,98.45890609,99.34375,0.017813781
2016/6/1,99.075,100.1661883,98.4443117,99.30525,0.01733923
2016/6/2,98.945,100.0964389,98.42356112,99.26,0.016853493
2016/6/3,98.985,100.009974,98.42102596,99.2155,0.016015119
2016/6/6,99.04,99.79622952,98.51427048,99.15525,0.012928807
2016/6/7,98.955,99.4230337,98.7479663,99.0855,0.006812979
2016/6/8,98.94,99.41203565,98.73346435,99.07275,0.006849222
2016/6/13,99.19,99.34435905,98.77114095,99.05775,0.005786706
2016/6/14,99.41,99.35546058,98.76403942,99.05975,0.005970348
2016/6/15,99.485,99.43118285,98.73781715,99.0845,0.006997721
2016/6/16,99.795,99.58622027,98.66127973,99.12375,0.00933117
2016/6/17,99.73,99.67748028,98.66351972,99.1705,0.010224417
2016/6/20,99.715,99.75025181,98.67774819,99.214,0.010810003
2016/6/21,99.835,99.84798074,98.65401926,99.251,0.012029717
2016/6/22,99.88,99.94151052,98.64098948,99.29125,0.013098043
2016/6/23,99.865,100.016685,98.62331499,99.32,0.014029098
2016/6/24,100.165,100.1519379,98.57756213,99.36475,0.015844409
2016/6/27,100.45,100.3401702,98.52032981,99.43025,0.018302683
2016/6/28,100.14,100.4278362,98.5396638,99.48375,0.018979707
2016/6/29,100.105,100.4876746,98.59732541,99.5425,0.018990373
2016/6/30,100.39,100.5996896,98.60981043,99.60475,0.019977753
2016/7/1,100.63,100.7407178,98.62428216,99.6825,0.021231768
2016/7/4,100.36,100.7938377,98.71266231,99.75325,0.020863234
2016/7/5,100.265,100.8176373,98.8168627,99.81725,0.020044377
2016/7/6,100.43,100.8540776,98.91942237,99.88675,0.019368487
2016/7/7,100.69,100.9014176,99.04558244,99.9735,0.01856327
2016/7/8,100.695,100.9102016,99.21229844,100.06125,0.016968638
2016/7/11,100.495,100.8942897,99.35871032,100.1265,0.015336393
2016/7/12,100.315,100.8687025,99.47479753,100.17175,0.01391515
2016/7/13,100.25,100.8319244,99.58807557,100.21,0.012412423
2016/7/14,100.32,100.8295533,99.64294675,100.23625,0.011838098
2016/7/15,100.55,100.8373524,99.71714755,100.27725,0.011171077
2016/7/18,100.545,100.8266267,99.81087329,100.31875,0.01012526
2016/7/19,100.6,100.827217,99.88678303,100.357,0.009370885
2016/7/20,100.895,100.8801743,99.93532567,100.40775,0.009410117
2016/7/21,100.955,100.9229937,100.0015063,100.46225,0.009172474
2016/7/22,100.96,100.9896925,100.0143075,100.502,0.009705131
2016/7/25,100.795,101.022522,100.015978,100.51925,0.010013446
2016/7/26,100.99,101.0732309,100.0502691,100.56175,0.010172475
2016/7/27,100.9,101.0877623,100.1152377,100.6015,0.009667098
2016/7/28,101.165,101.1741084,100.1063916,100.64025,0.010609242
2016/7/29,101.065,101.2269549,100.0970451,100.662,0.011224789
2016/8/1,100.935,101.2497963,100.1317037,100.69075,0.011104223
2016/8/2,101.075,101.2782863,100.1842137,100.73125,0.010861303
2016/8/3,101.185,101.3316509,100.2063491,100.769,0.011167142
2016/8/4,101.21,101.3878912,100.2021088,100.795,0.011764298
2016/8/5,101.465,101.4918092,100.1751908,100.8335,0.013057351
2016/8/8,101.475,101.5775935,100.1874065,100.8825,0.01378026
2016/8/9,101.59,101.655192,100.237308,100.94625,0.01404593
2016/8/10,101.65,101.7127403,100.3197597,101.01625,0.013789669
2016/8/11,101.315,101.6953616,100.4366384,101.066,0.012454467
2016/8/12,101.55,101.7321948,100.4998052,101.116,0.012187879
2016/8/15,101.71,101.7837438,100.5647562,101.17425,0.012048399
2016/8/16,101.48,101.780818,100.655682,101.21825,0.01111594
2016/8/18,101.435,101.7948542,100.6956458,101.24525,0.010856888
2016/8/19,101.185,101.7909903,100.7225097,101.25675,0.010552192
2016/8/22,101.375,101.7960316,100.7589684,101.2775,0.010239818
2016/8/23,100.985,101.7759417,100.7980583,101.287,0.00965458
2016/8/24,100.97,101.7774428,100.7945572,101.286,0.009704061
2016/8/25,100.915,101.7758745,100.7976255,101.28675,0.009658212
2016/8/26,101.155,101.7758915,100.7966086,101.28625,0.009668468
2016/8/29,100.955,101.7825296,100.7789704,101.28075,0.009908686
2016/8/30,100.61,101.827349,100.701651,101.2645,0.011116413
2016/8/31,100.7,101.8556211,100.6358789,101.24575,0.012047342
2016/9/1,100.77,101.8690109,100.5809891,101.225,0.012724344
2016/9/2,100.74,101.8793945,100.5236055,101.2015,0.013396927
2016/9/5,100.705,101.8629148,100.4640852,101.1635,0.013827413
2016/9/6,100.62,101.8429292,100.3985708,101.12075,0.014283501
2016/9/7,100.565,101.796665,100.342335,101.0695,0.014389406
2016/9/8,100.755,101.7126052,100.3368948,101.02475,0.013617558
2016/9/9,100.85,101.6799106,100.3230894,101.0015,0.013433675
2016/9/12,100.645,101.6022366,100.3102634,100.95625,0.012797358
2016/9/13,100.92,101.4623623,100.3711377,100.91675,0.010813116
2016/9/14,100.975,101.3735488,100.4094512,100.8915,0.009555785
2016/9/19,101.01,101.2877362,100.4527638,100.87025,0.008277688
2016/9/26,101.25,101.3016133,100.4453867,100.8735,0.008488122
